Amir Karaoui	Midfielder	Algeria	ES Sétif
Riyad Mahrez	Midfielder	Algeria	Leicester City
Rafik Djebbour	Forward	Algeria	Nottingham Forest
El Arbi Hillel Soudani	Forward	Algeria	Dinamo Zagreb
Islam Slimani	Forward	Algeria	Sporting Lisbon
Nabil Ghilas	Forward	Algeria	Porto
Máximo Banguera	Goal Keeper	Ecuador	Barcelona
Alexander Domínguez	Goal Keeper	Ecuador	LDU Quito
Adrián Bone	Goal Keeper	Ecuador	El Nacional
Walter Ayoví	Defender	Ecuador	Pachuca
Jorge Guagua	Defender	Ecuador	Emelec
Juan Carlos Paredes	Defender	Ecuador	Barcelona
Frickson Erazo	Defender	Ecuador	Flamengo
Gabriel Achilier	Defender	Ecuador	Emelec
Óscar Bagüí	Defender	Ecuador	Emelec
Cristian Ramírez	Defender	Ecuador	Fortuna Düsseldorf
John Narváez	Defender	Ecuador	Emelec
Édison Méndez	Midfielder	Ecuador	Santa Fe
Segundo Castillo	Midfielder	Ecuador	Al-Hilal
Antonio Valencia	Midfielder	Ecuador	Manchester United
Luis Saritama	Midfielder	Ecuador	Barcelona
Christian Noboa	Midfielder	Ecuador	Dynamo Moscow
Jefferson Montero	Midfielder	Ecuador	Morelia
João Rojas	Midfielder	Ecuador	Cruz Azul
Michael Arroyo	Midfielder	Ecuador	Atlante
Oswaldo Minda	Midfielder	Ecuador	Chivas USA
Renato Ibarra	Midfielder	Ecuador	Vitesse
Pedro Quiñónez	Midfielder	Ecuador	Emelec
Fidel Martínez	Midfielder	Ecuador	Tijuana
Carlos Gruezo	Midfielder	Ecuador	VfB Stuttgart
Ángel Mena	Midfielder	Ecuador	Emelec
Cristian Penilla	Midfielder	Ecuador	Barcelona
Felipe Caicedo	Forward	Ecuador	Al-Jazira
Jaime Ayoví	Forward	Ecuador	Tijuana
Enner Valencia	Forward	Ecuador	Pachuca
Armando Wila	Forward	Ecuador	Universidad Católica
Joe Hart	Goal Keeper	England	Manchester City
Ben Foster	Goal Keeper	England	West Bromwich Albion
Fraser Forster	Goal Keeper	England	Celtic
Glen Johnson	Defender	England	Liverpool
Leighton Baines	Defender	England	Everton
Gary Cahill	Defender	England	Chelsea
Phil Jagielka	Defender	England	Everton
Chris Smalling	Defender	England	Manchester United
Phil Jones	Defender	England	Manchester United
Luke Shaw	Defender	England	Southampton
Steven Gerrard	Midfielder	England	Liverpool
Jack Wilshere	Midfielder	England	Arsenal
Frank Lampard	Midfielder	England	Chelsea
Jordan Henderson	Midfielder	England	Liverpool
Alex Oxlade-Chamberlain	Midfielder	England	Arsenal
James Milner	Midfielder	England	Manchester City
Raheem Sterling	Midfielder	England	Liverpool
Adam Lallana	Midfielder	England	Southampton
Ross Barkley	Midfielder	England	Everton
Daniel Sturridge	Forward	England	Liverpool
Wayne Rooney	Forward	England	Manchester United
Danny Welbeck	Forward	England	Manchester United
Rickie Lambert	Forward	England	Southampton
Iker Casillas (captain)	Goal Keeper	Spain	Real Madrid
Pepe Reina	Goal Keeper	Spain	Napoli
David de Gea	Goal Keeper	Spain	Manchester United
Sergio Ramos	Defender	Spain	Real Madrid
Gerard Piqué	Defender	Spain	Barcelona
Raúl Albiol	Defender	Spain	Napoli
Jordi Alba	Defender	Spain	Barcelona
Juanfran	Defender	Spain	Atlético Madrid
César Azpilicueta	Defender	Spain	Chelsea
Alberto Moreno	Defender	Spain	Sevilla
Daniel Carvajal	Defender	Spain	Real Madrid
Xavi Hernández	Midfielder	Spain	Barcelona
Xabi Alonso	Midfielder	Spain	Real Madrid
Andrés Iniesta	Midfielder	Spain	Barcelona
Cesc Fàbregas	Midfielder	Spain	Barcelona
David Silva	Midfielder	Spain	Manchester City
Sergio Busquets	Midfielder	Spain	Barcelona
Santi Cazorla	Midfielder	Spain	Arsenal
Jesús Navas	Midfielder	Spain	Manchester City
Juan Mata	Midfielder	Spain	Manchester United
Javi Martínez	Midfielder	Spain	Bayern Munich
Koke	Midfielder	Spain	Atlético Madrid
