#Italy
No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
13,FW,Robert Skov,20 May 1996 (aged 25),9,5,1899 Hoffenheim
14,FW,Mikkel Damsgaard,3 July 2000 (aged 20),2,2,Sampdoria
15,MF,Christian Nørgaard,10 March 1994 (aged 27),4,0,Brentford
16,GK,Jonas Lössl,1 February 1989 (aged 32),1,0,Midtjylland
17,DF,Jens Stryger Larsen,21 February 1991 (aged 30),34,2,Udinese
18,MF,Daniel Wass,31 May 1989 (aged 32),28,0,Valencia
19,DF,Nicolai Boilesen,16 February 1992 (aged 29),18,1,Copenhagen
20,FW,Yussuf Poulsen,15 June 1994 (aged 26),52,7,RB Leipzig
21,FW,Jonas Wind,7 February 1999 (aged 22),6,3,Copenhagen
22,GK,Frederik Rønnow,4 August 1992 (aged 28),8,0,Schalke 04
23,MF,Pierre-Emile Højbjerg,5 August 1995 (aged 25),40,4,Tottenham Hotspur
24,FW,Andreas Cornelius,16 March 1993 (aged 28),27,5,Parma
25,MF,Anders Christiansen,8 June 1990 (aged 31),3,0,Malmö FF
26,DF,Mathias Jørgensen,23 April 1990 (aged 31),34,2,Copenhagen

#Finland
No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
,GK,Lukáš Hrádecký,24 November 1989 (aged 31),64,0,Bayer Leverkusen
,GK,Jesse Joronen,21 March 1993 (aged 28),14,0,Brescia
,GK,Anssi Jaakkola,13 March 1987 (aged 34),3,0,Bristol Rovers
,GK,Carljohan Eriksson,25 April 1995 (aged 26),0,0,Mjällby AIF
,DF,Paulus Arajuuri,15 June 1988 (aged 32),50,3,Pafos
,DF,Jere Uronen,13 July 1994 (aged 26),48,1,Genk
,DF,Juhani Ojala,19 June 1989 (aged 31),32,1,Vejle
,DF,Thomas Lam,18 December 1993 (aged 27),26,0,PEC Zwolle
,DF,Sauli Väisänen,5 June 1994 (aged 27),20,0,Chievo
,DF,Albin Granlund,1 September 1989 (aged 31),19,0,Stal Mielec
,DF,Nikolai Alho,12 March 1993 (aged 28),11,0,MTK
,DF,Daniel O'Shaughnessy,14 September 1994 (aged 26),10,0,HJK
,DF,Niko Hämäläinen,5 March 1997 (aged 24),7,0,Queens Park Rangers
,DF,Leo Väisänen,23 July 1997 (aged 23),7,0,IF Elfsborg
,DF,Robert Ivanov,19 September 1994 (aged 26),4,0,Warta Poznań
,DF,Aapo Halme,22 May 1998 (aged 23),0,0,Barnsley
,,,,,,
,MF,Tim Sparv (captain),20 February 1987 (aged 34),81,1,AEL
,MF,Rasmus Schüller,18 June 1991 (aged 29),48,0,Djurgårdens IF
,MF,Glen Kamara,28 October 1995 (aged 25),30,1,Rangers
,MF,Pyry Soiri,22 September 1994 (aged 26),30,5,Esbjerg
,MF,Joni Kauko,12 July 1990 (aged 30),25,0,Esbjerg
,MF,Fredrik Jensen,9 September 1997 (aged 23),17,7,FC Augsburg
,MF,Onni Valakari,18 August 1999 (aged 21),5,1,Pafos
,MF,Jasin-Amin Assehnoun,26 December 1998 (aged 22),1,0,Lahti
,,,,,,
,FW,Teemu Pukki,29 March 1990 (aged 31),90,30,Norwich City
,FW,Joel Pohjanpalo,13 September 1994 (aged 26),41,9,Union Berlin
,FW,Lassi Lappalainen,24 August 1998 (aged 22),8,0,CF Montréal
,FW,Roope Riski,16 August 1991 (aged 29),6,1,HJK
,FW,Marcus Forss,18 June 1999 (aged 21),4,1,Brentford

#Russia
No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
,GK,Anton Shunin,27 January 1987 (aged 34),10,0,Dynamo Moscow
,GK,Andrey Lunyov,13 November 1991 (aged 29),7,0,Zenit Saint Petersburg
,GK,Yury Dyupin,17 March 1988 (aged 33),0,0,Rubin Kazan
,GK,Matvei Safonov,25 February 1999 (aged 22),0,0,Krasnodar
,,,,,,
,DF,Yuri Zhirkov,20 August 1983 (aged 37),102,2,Zenit Saint Petersburg
,DF,Fyodor Kudryashov,5 April 1987 (aged 34),43,1,Antalyaspor
,DF,Georgi Dzhikiya,21 November 1993 (aged 27),31,1,Spartak Moscow
,DF,Mário Fernandes,19 September 1990 (aged 30),28,5,CSKA Moscow
,DF,Andrei Semyonov,24 March 1989 (aged 32),24,0,Akhmat Grozny
,DF,Vyacheslav Karavayev,20 May 1995 (aged 26),11,1,Zenit Saint Petersburg
,DF,Igor Diveyev,27 September 1999 (aged 21),2,0,CSKA Moscow
,DF,Roman Yevgenyev,23 February 1999 (aged 22),1,0,Dynamo Moscow
,DF,Ilya Samoshnikov,14 November 1997 (aged 23),0,0,Rubin Kazan
,,,,,,
,MF,Aleksandr Golovin,30 May 1996 (aged 25),36,5,Monaco
,MF,Aleksei Ionov,18 February 1989 (aged 32),34,4,Krasnodar
,MF,Roman Zobnin,11 February 1994 (aged 27),33,0,Spartak Moscow
,MF,Daler Kuzyayev,15 January 1993 (aged 28),32,2,Zenit Saint Petersburg
,MF,Aleksei Miranchuk,17 October 1995 (aged 25),31,5,Atalanta
,MF,Denis Cheryshev,26 December 1990 (aged 30),30,12,Valencia
,MF,Magomed Ozdoyev,5 November 1992 (aged 28),30,4,Zenit Saint Petersburg
,MF,Andrei Mostovoy,5 November 1997 (aged 23),7,0,Zenit Saint Petersburg
,MF,Dmitri Barinov,11 September 1996 (aged 24),4,0,Lokomotiv Moscow
,MF,Daniil Fomin,2 March 1997 (aged 24),4,0,Dynamo Moscow
,MF,Rifat Zhemaletdinov,20 September 1996 (aged 24),3,0,Lokomotiv Moscow
,MF,Maksim Mukhin,4 November 2001 (aged 19),1,0,Lokomotiv Moscow
,MF,Denis Makarov,18 February 1998 (aged 23),0,0,Rubin Kazan
,MF,Arsen Zakharyan,26 May 2003 (aged 18),0,0,Dynamo Moscow
,,,,,,
,FW,Artem Dzyuba (captain),22 August 1988 (aged 32),50,29,Zenit Saint Petersburg
,FW,Anton Zabolotny,13 June 1991 (aged 29),12,1,Sochi
,FW,Aleksandr Sobolev,7 March 1997 (aged 24),5,2,Spartak Moscow

#Austria
No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
,GK,Pavao Pervan,13 November 1987 (aged 33),7,0,VfL Wolfsburg
,GK,Alexander Schlager,1 February 1996 (aged 25),6,0,LASK
,GK,Daniel Bachmann,9 July 1994 (aged 26),0,0,Watford
,,,,,,
,DF,Aleksandar Dragović,6 March 1991 (aged 30),89,2,Bayer Leverkusen
,DF,David Alaba,24 June 1992 (aged 28),79,14,Bayern Munich
,DF,Martin Hinteregger,7 September 1992 (aged 28),53,4,Eintracht Frankfurt
,DF,Stefan Lainer,27 August 1992 (aged 28),28,1,Borussia Mönchengladbach
,DF,Andreas Ulmer,30 October 1985 (aged 35),23,0,Red Bull Salzburg
,DF,Christopher Trimmel,24 February 1987 (aged 34),11,0,Union Berlin
,DF,Stefan Posch,14 May 1997 (aged 24),10,1,1899 Hoffenheim
,DF,Philipp Lienhart,11 July 1996 (aged 24),3,0,SC Freiburg
,DF,Marco Friedl,16 March 1998 (aged 23),2,0,Werder Bremen
,,,,,,
,MF,Julian Baumgartlinger (captain),2 January 1988 (aged 33),82,1,Bayer Leverkusen
,MF,Stefan Ilsanker,18 May 1989 (aged 32),50,0,Eintracht Frankfurt
,MF,Valentino Lazaro,24 March 1996 (aged 25),30,3,Borussia Mönchengladbach
,MF,Alessandro Schöpf,7 February 1994 (aged 27),25,5,Schalke 04
,MF,Florian Grillitsch,7 August 1995 (aged 25),21,1,1899 Hoffenheim
,MF,Louis Schaub,29 December 1994 (aged 26),19,6,Luzern
,MF,Xaver Schlager,28 September 1997 (aged 23),19,1,VfL Wolfsburg
,MF,Christoph Baumgartner,1 August 1999 (aged 21),8,3,1899 Hoffenheim
,MF,Konrad Laimer,27 May 1997 (aged 24),7,1,RB Leipzig
,,,,,,
,FW,Marko Arnautović,19 April 1989 (aged 32),87,26,Shanghai Port
,FW,Marcel Sabitzer,17 March 1994 (aged 27),48,8,RB Leipzig
,FW,Michael Gregoritsch,18 April 1994 (aged 27),24,4,FC Augsburg
,FW,Karim Onisiwo,17 March 1992 (aged 29),11,1,Mainz 05
,FW,Saša Kalajdžić,7 July 1997 (aged 23),5,3,VfB Stuttgart

#Netherlands
No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
1,GK,Jasper Cillessen,22 April 1989 (aged 32),60,0,Valencia
2,DF,Joël Veltman,15 January 1992 (aged 29),27,2,Brighton & Hove Albion
3,DF,Matthijs de Ligt,12 August 1999 (aged 21),26,2,Juventus
4,DF,Nathan Aké,18 February 1995 (aged 26),19,2,Manchester City
5,DF,Owen Wijndal,28 November 1999 (aged 21),7,0,AZ
6,DF,Stefan de Vrij,5 February 1992 (aged 29),43,3,Internazionale
7,FW,Steven Berghuis,19 December 1991 (aged 29),24,2,Feyenoord
8,MF,Georginio Wijnaldum (captain),11 November 1990 (aged 30),73,22,Liverpool
9,FW,Wout Weghorst,7 August 1992 (aged 28),4,0,VfL Wolfsburg
10,FW,Memphis Depay,13 February 1994 (aged 27),62,23,Lyon
11,FW,Quincy Promes,4 January 1992 (aged 29),47,7,Spartak Moscow
12,DF,Patrick van Aanholt,29 August 1990 (aged 30),13,0,Crystal Palace
13,GK,Maarten Stekelenburg,22 September 1982 (aged 38),58,0,Ajax
14,MF,Ryan Gravenberch,16 May 2002 (aged 19),3,0,Ajax
15,MF,Marten de Roon,29 March 1991 (aged 30),21,0,Atalanta
16,MF,Davy Klaassen,21 February 1993 (aged 28),22,5,Ajax
17,DF,Daley Blind,9 March 1990 (aged 31),77,2,Ajax
18,FW,Donyell Malen,19 January 1999 (aged 22),8,2,PSV Eindhoven
19,FW,Luuk de Jong,27 August 1990 (aged 30),35,8,Sevilla
20,MF,Donny van de Beek,18 April 1997 (aged 24),19,3,Manchester United
21,MF,Frenkie de Jong,12 May 1997 (aged 24),25,1,Barcelona
22,DF,Denzel Dumfries,18 April 1996 (aged 25),17,0,PSV Eindhoven
23,GK,Tim Krul,3 April 1988 (aged 33),14,0,Norwich City
24,MF,Teun Koopmeiners,28 February 1998 (aged 23),1,0,AZ
25,FW,Cody Gakpo,7 May 1999 (aged 22),0,0,PSV Eindhoven
26,DF,Jurriën Timber,17 June 2001 (aged 19),0,0,Ajax

#North Macedonia
No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
,GK,Stole Dimitrievski,25 December 1993 (aged 27),40,0,Rayo Vallecano
,GK,Damjan Shishkovski,18 March 1995 (aged 26),6,0,Doxa Katokopias
,GK,Risto Jankov,5 September 1998 (aged 22),0,0,Rabotnichki
,,,,,,
,DF,Stefan Ristovski,12 February 1992 (aged 29),63,2,Dinamo Zagreb
,DF,Kire Ristevski,22 October 1990 (aged 30),45,0,Újpest
,DF,Ezgjan Alioski,12 February 1992 (aged 29),42,7,Leeds United
,DF,Visar Musliu,13 November 1994 (aged 26),29,1,Fehérvár
,DF,Darko Velkovski,21 June 1995 (aged 25),27,1,Rijeka
,DF,Egzon Bejtulai,7 January 1994 (aged 27),19,0,Shkëndija
,DF,Gjoko Zajkov,10 February 1995 (aged 26),17,1,Charleroi
,,,,,,
,MF,Ferhan Hasani,18 June 1990 (aged 30),40,2,Partizani
,MF,Stefan Spirovski,23 August 1990 (aged 30),39,1,AEK Larnaca
,MF,Enis Bardhi,2 July 1995 (aged 25),34,6,Levante
,MF,Boban Nikolov,28 July 1994 (aged 26),32,2,Lecce
,MF,Eljif Elmas,24 September 1999 (aged 21),25,6,Napoli
,MF,Arijan Ademi,29 May 1991 (aged 30),20,4,Dinamo Zagreb
,MF,Marjan Radeski,10 February 1995 (aged 26),17,1,Akademija Pandev
,MF,Tihomir Kostadinov,4 March 1996 (aged 25),8,0,Ružomberok
,MF,Daniel Avramovski,20 February 1995 (aged 26),4,0,Kayserispor
,MF,Darko Churlinov,11 July 2000 (aged 20),1,0,VfB Stuttgart
,,,,,,
,FW,Goran Pandev (captain),27 July 1983 (aged 37),117,37,Genoa
,FW,Aleksandar Trajkovski,5 September 1992 (aged 28),63,18,Mallorca
,FW,Ivan Trichkovski,18 April 1987 (aged 34),62,6,AEK Larnaca
,FW,Krste Velkoski,20 February 1988 (aged 33),14,0,Sarajevo
,FW,Vlatko Stojanovski,23 April 1997 (aged 24),8,2,Chambly
,FW,Milan Ristovski,8 April 1998 (aged 23),0,0,Spartak Trnava

#Ukraine
No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
,GK,Andriy Pyatov (captain),28 June 1984 (aged 36),96,0,Shakhtar Donetsk
,GK,Andriy Lunin,11 February 1999 (aged 22),6,0,Real Madrid
,GK,Heorhiy Bushchan,31 May 1994 (aged 27),5,0,Dynamo Kyiv
